Date,Month,Week,Day of Week,Bookings,Journeys,Delayed_Journeys,Cancelled_Journeys,Revenue,Refunded,First_Class,Is_Weekend,Is_Holiday
2024-04-11,4,15,3,253,149,6,6,6593,371,22,0,0
2024-04-12,4,15,4,291,173,8,4,7719,462,25,0,0
2024-04-13,4,15,5,265,181,8,6,5971,210,24,1,0
2024-04-14,4,15,6,284,170,9,5,6053,239,24,1,0
2024-04-15,4,16,0,298,188,10,6,7506,321,28,0,0
2024-04-16,4,16,1,251,148,7,7,7118,529,27,0,0
2024-04-17,4,16,2,288,171,5,7,7249,249,35,0,0
2024-04-18,4,16,3,256,169,7,4,6575,311,22,0,0
2024-04-19,4,16,4,304,185,14,6,7053,526,29,0,0
2024-04-20,4,16,5,255,171,10,5,5957,204,22,1,0
2024-04-21,4,16,6,265,161,6,9,5592,309,29,1,0
2024-04-22,4,17,0,254,163,9,10,7107,387,29,0,0
2024-04-23,4,17,1,285,182,11,6,6944,270,30,0,0
2024-04-24,4,17,2,271,179,9,5,6811,316,30,0,0
2024-04-25,4,17,3,276,171,8,5,5411,182,25,0,0
2024-04-26,4,17,4,270,173,11,6,6125,274,31,0,0
2024-04-27,4,17,5,269,161,12,8,6707,598,25,1,0
2024-04-28,4,17,6,292,190,8,9,6655,250,36,1,0
2024-04-29,4,18,0,249,160,8,6,5893,430,27,0,0
2024-04-30,4,18,1,271,182,9,11,5750,299,23,0,0
