Journey ID,Route Code,Date of Journey,Departure Time,Arrival Time,Actual Arrival Time,Delay Duration,Journey Status,Reason for Delay
EUS-BHM:20240102:0715,EUS-BHM,2024-01-02,2024-01-02 07:15:00,2024-01-02 08:35:00,2024-01-02 08:35:00,0 days 00:00:00,On Time,
LIV-MAN:20240102:0730,LIV-MAN,2024-01-02,2024-01-02 07:30:00,2024-01-02 08:00:00,2024-01-02 08:00:00,0 days 00:00:00,On Time,
RDG-SWI:20240102:0730,RDG-SWI,2024-01-02,2024-01-02 07:30:00,2024-01-02 08:15:00,2024-01-02 08:15:00,0 days 00:00:00,On Time,
EUS-BHM:20240102:0730,EUS-BHM,2024-01-02,2024-01-02 07:30:00,2024-01-02 08:50:00,2024-01-02 08:50:00,0 days 00:00:00,On Time,
KGX-YRK:20240102:0730,KGX-YRK,2024-01-02,2024-01-02 07:30:00,2024-01-02 09:20:00,2024-01-02 09:20:00,0 days 00:00:00,On Time,
MAN-LIV:20240102:0745,MAN-LIV,2024-01-02,2024-01-02 07:45:00,2024-01-02 08:15:00,2024-01-02 08:15:00,0 days 00:00:00,On Time,
PAD-RDG:20240102:0745,PAD-RDG,2024-01-02,2024-01-02 07:45:00,2024-01-02 08:45:00,2024-01-02 08:45:00,0 days 00:00:00,On Time,
PAD-OXF:20240102:0745,PAD-OXF,2024-01-02,2024-01-02 07:45:00,2024-01-02 09:15:00,2024-01-02 09:15:00,0 days 00:00:00,On Time,
KGX-YRK:20240102:0745,KGX-YRK,2024-01-02,2024-01-02 07:45:00,2024-01-02 09:35:00,2024-01-02 09:35:00,0 days 00:00:00,On Time,
OXF-BRI:20240102:0800,OXF-BRI,2024-01-02,2024-01-02 08:00:00,2024-01-02 09:15:00,2024-01-02 09:15:00,0 days 00:00:00,On Time,
EUS-BHM:20240102:0800,EUS-BHM,2024-01-02,2024-01-02 08:00:00,2024-01-02 09:20:00,2024-01-02 09:20:00,0 days 00:00:00,On Time,
STP-BHM:20240102:0800,STP-BHM,2024-01-02,2024-01-02 08:00:00,2024-01-02 09:20:00,,,Cancelled,Signal Failure
MAN-EUS:20240102:0800,MAN-EUS,2024-01-02,2024-01-02 08:00:00,2024-01-02 09:50:00,2024-01-02 10:08:00,0 days 00:18:00,Delayed,Weather Conditions
EUS-MAN:20240102:0800,EUS-MAN,2024-01-02,2024-01-02 08:00:00,2024-01-02 09:50:00,2024-01-02 09:50:00,0 days 00:00:00,On Time,
LIV-EUS:20240102:0800,LIV-EUS,2024-01-02,2024-01-02 08:00:00,2024-01-02 10:15:00,,,Cancelled,Staff Shortage
STP-BHM:20240102:0815,STP-BHM,2024-01-02,2024-01-02 08:15:00,2024-01-02 09:35:00,2024-01-02 09:35:00,0 days 00:00:00,On Time,
EUS-BHM:20240102:0815,EUS-BHM,2024-01-02,2024-01-02 08:15:00,2024-01-02 09:35:00,2024-01-02 09:35:00,0 days 00:00:00,On Time,
MAN-LIV:20240102:0830,MAN-LIV,2024-01-02,2024-01-02 08:30:00,2024-01-02 09:00:00,2024-01-02 09:00:00,0 days 00:00:00,On Time,
MAN-LIV:20240102:0845,MAN-LIV,2024-01-02,2024-01-02 08:45:00,2024-01-02 09:15:00,2024-01-02 09:15:00,0 days 00:00:00,On Time,
PAD-RDG:20240102:0845,PAD-RDG,2024-01-02,2024-01-02 08:45:00,2024-01-02 09:45:00,2024-01-02 09:45:00,0 days 00:00:00,On Time,
MAN-LIV:20240102:0900,MAN-LIV,2024-01-02,2024-01-02 09:00:00,2024-01-02 09:30:00,2024-01-02 09:30:00,0 days 00:00:00,On Time,
MAN-LDS:20240102:0900,MAN-LDS,2024-01-02,2024-01-02 09:00:00,2024-01-02 09:45:00,2024-01-02 12:39:00,0 days 02:54:00,Delayed,Signal Failure
MAN-NOT:20240102:0900,MAN-NOT,2024-01-02,2024-01-02 09:00:00,2024-01-02 10:00:00,2024-01-02 10:59:00,0 days 00:59:00,Delayed,Signal Failure
KGX-YRK:20240102:0900,KGX-YRK,2024-01-02,2024-01-02 09:00:00,2024-01-02 10:50:00,2024-01-02 10:50:00,0 days 00:00:00,On Time,
MAN-LIV:20240102:0915,MAN-LIV,2024-01-02,2024-01-02 09:15:00,2024-01-02 09:45:00,2024-01-02 09:45:00,0 days 00:00:00,On Time,
KGX-YRK:20240102:0945,KGX-YRK,2024-01-02,2024-01-02 09:45:00,2024-01-02 11:35:00,,,Cancelled,Staff Shortage
KGX-YRK:20240102:1030,KGX-YRK,2024-01-02,2024-01-02 10:30:00,2024-01-02 12:20:00,2024-01-02 12:20:00,0 days 00:00:00,On Time,
LIV-MAN:20240102:1045,LIV-MAN,2024-01-02,2024-01-02 10:45:00,2024-01-02 11:15:00,2024-01-02 11:15:00,0 days 00:00:00,On Time,
STP-BHM:20240102:1100,STP-BHM,2024-01-02,2024-01-02 11:00:00,2024-01-02 12:20:00,2024-01-02 12:20:00,0 days 00:00:00,On Time,
KGX-YRK:20240102:1100,KGX-YRK,2024-01-02,2024-01-02 11:00:00,2024-01-02 12:50:00,2024-01-02 12:50:00,0 days 00:00:00,On Time,
MAN-LIV:20240102:1115,MAN-LIV,2024-01-02,2024-01-02 11:15:00,2024-01-02 11:45:00,2024-01-02 11:45:00,0 days 00:00:00,On Time,
LIV-MAN:20240102:1115,LIV-MAN,2024-01-02,2024-01-02 11:15:00,2024-01-02 11:45:00,2024-01-02 12:17:00,0 days 00:32:00,Delayed,Technical Issue
STP-BHM:20240102:1200,STP-BHM,2024-01-02,2024-01-02 12:00:00,2024-01-02 13:20:00,2024-01-02 13:20:00,0 days 00:00:00,On Time,
PAD-RDG:20240102:1245,PAD-RDG,2024-01-02,2024-01-02 12:45:00,2024-01-02 13:45:00,2024-01-02 13:45:00,0 days 00:00:00,On Time,
EUS-BHM:20240102:1245,EUS-BHM,2024-01-02,2024-01-02 12:45:00,2024-01-02 14:05:00,2024-01-02 14:05:00,0 days 00:00:00,On Time,
YRK-EDB:20240102:1245,YRK-EDB,2024-01-02,2024-01-02 12:45:00,2024-01-02 15:15:00,2024-01-02 15:15:00,0 days 00:00:00,On Time,
RDG-PAD:20240102:1330,RDG-PAD,2024-01-02,2024-01-02 13:30:00,2024-01-02 13:55:00,,,Cancelled,Staff Shortage
MAN-LIV:20240102:1330,MAN-LIV,2024-01-02,2024-01-02 13:30:00,2024-01-02 14:00:00,2024-01-02 14:00:00,0 days 00:00:00,On Time,
MAN-LIV:20240102:1430,MAN-LIV,2024-01-02,2024-01-02 14:30:00,2024-01-02 15:00:00,2024-01-02 15:00:00,0 days 00:00:00,On Time,
KGX-YRK:20240102:1430,KGX-YRK,2024-01-02,2024-01-02 14:30:00,2024-01-02 16:20:00,2024-01-02 16:20:00,0 days 00:00:00,On Time,
PAD-RDG:20240102:1500,PAD-RDG,2024-01-02,2024-01-02 15:00:00,2024-01-02 16:00:00,2024-01-02 16:00:00,0 days 00:00:00,On Time,
STP-BHM:20240102:1500,STP-BHM,2024-01-02,2024-01-02 15:00:00,2024-01-02 16:20:00,2024-01-02 16:20:00,0 days 00:00:00,On Time,
STP-BHM:20240102:1515,STP-BHM,2024-01-02,2024-01-02 15:15:00,2024-01-02 16:35:00,2024-01-02 16:35:00,0 days 00:00:00,On Time,
PAD-RDG:20240102:1530,PAD-RDG,2024-01-02,2024-01-02 15:30:00,2024-01-02 16:30:00,2024-01-02 16:30:00,0 days 00:00:00,On Time,
STP-BHM:20240102:1530,STP-BHM,2024-01-02,2024-01-02 15:30:00,2024-01-02 16:50:00,2024-01-02 16:50:00,0 days 00:00:00,On Time,
EUS-BHM:20240102:1545,EUS-BHM,2024-01-02,2024-01-02 15:45:00,2024-01-02 17:05:00,2024-01-02 17:05:00,0 days 00:00:00,On Time,
YRK-EDB:20240102:1545,YRK-EDB,2024-01-02,2024-01-02 15:45:00,2024-01-02 18:15:00,2024-01-02 18:15:00,0 days 00:00:00,On Time,
LIV-MAN:20240102:1600,LIV-MAN,2024-01-02,2024-01-02 16:00:00,2024-01-02 16:30:00,2024-01-02 16:30:00,0 days 00:00:00,On Time,
YRK-PBO:20240102:1600,YRK-PBO,2024-01-02,2024-01-02 16:00:00,2024-01-02 17:10:00,2024-01-02 17:10:00,0 days 00:00:00,On Time,
EUS-BHM:20240102:1600,EUS-BHM,2024-01-02,2024-01-02 16:00:00,2024-01-02 17:20:00,,,Cancelled,Technical Issue
STP-BHM:20240102:1600,STP-BHM,2024-01-02,2024-01-02 16:00:00,2024-01-02 17:20:00,2024-01-02 17:20:00,0 days 00:00:00,On Time,
MAN-LIV:20240102:1615,MAN-LIV,2024-01-02,2024-01-02 16:15:00,2024-01-02 16:45:00,2024-01-02 16:45:00,0 days 00:00:00,On Time,
KGX-YRK:20240102:1615,KGX-YRK,2024-01-02,2024-01-02 16:15:00,2024-01-02 18:05:00,2024-01-02 18:05:00,0 days 00:00:00,On Time,
STP-BHM:20240102:1700,STP-BHM,2024-01-02,2024-01-02 17:00:00,2024-01-02 18:20:00,2024-01-02 18:20:00,0 days 00:00:00,On Time,
LIV-MAN:20240102:1715,LIV-MAN,2024-01-02,2024-01-02 17:15:00,2024-01-02 17:45:00,2024-01-02 17:45:00,0 days 00:00:00,On Time,
KGX-YRK:20240102:1715,KGX-YRK,2024-01-02,2024-01-02 17:15:00,2024-01-02 19:05:00,2024-01-02 19:05:00,0 days 00:00:00,On Time,
BHM-STA:20240102:1745,BHM-STA,2024-01-02,2024-01-02 17:45:00,2024-01-02 18:15:00,2024-01-02 18:15:00,0 days 00:00:00,On Time,
MAN-LIV:20240102:1745,MAN-LIV,2024-01-02,2024-01-02 17:45:00,2024-01-02 18:15:00,2024-01-02 18:15:00,0 days 00:00:00,On Time,
RDG-SWI:20240102:1745,RDG-SWI,2024-01-02,2024-01-02 17:45:00,2024-01-02 18:30:00,2024-01-02 18:30:00,0 days 00:00:00,On Time,
STP-BHM:20240102:1745,STP-BHM,2024-01-02,2024-01-02 17:45:00,2024-01-02 19:05:00,2024-01-02 19:05:00,0 days 00:00:00,On Time,
KGX-YRK:20240102:1745,KGX-YRK,2024-01-02,2024-01-02 17:45:00,2024-01-02 19:35:00,2024-01-02 19:35:00,0 days 00:00:00,On Time,
STP-BHM:20240102:1800,STP-BHM,2024-01-02,2024-01-02 18:00:00,2024-01-02 19:20:00,2024-01-02 19:20:00,0 days 00:00:00,On Time,
LIV-MAN:20240102:1815,LIV-MAN,2024-01-02,2024-01-02 18:15:00,2024-01-02 18:45:00,2024-01-02 18:45:00,0 days 00:00:00,On Time,
BHM-TAM:20240102:1845,BHM-TAM,2024-01-02,2024-01-02 18:45:00,2024-01-02 19:05:00,2024-01-02 19:05:00,0 days 00:00:00,On Time,
BHM-STA:20240102:1845,BHM-STA,2024-01-02,2024-01-02 18:45:00,2024-01-02 19:15:00,2024-01-02 19:15:00,0 days 00:00:00,On Time,
MAN-LIV:20240102:1845,MAN-LIV,2024-01-02,2024-01-02 18:45:00,2024-01-02 19:15:00,2024-01-02 19:15:00,0 days 00:00:00,On Time,
LIV-CRE:20240102:1845,LIV-CRE,2024-01-02,2024-01-02 18:45:00,2024-01-02 19:20:00,2024-01-02 19:20:00,0 days 00:00:00,On Time,
STP-LEI:20240102:1845,STP-LEI,2024-01-02,2024-01-02 18:45:00,2024-01-02 19:45:00,2024-01-02 19:45:00,0 days 00:00:00,On Time,
STP-BHM:20240102:1845,STP-BHM,2024-01-02,2024-01-02 18:45:00,2024-01-02 20:05:00,2024-01-02 20:05:00,0 days 00:00:00,On Time,
STP-WVH:20240102:1845,STP-WVH,2024-01-02,2024-01-02 18:45:00,2024-01-02 20:15:00,2024-01-02 20:15:00,0 days 00:00:00,On Time,
EUS-MAN:20240102:1845,EUS-MAN,2024-01-02,2024-01-02 18:45:00,2024-01-02 20:35:00,2024-01-02 20:35:00,0 days 00:00:00,On Time,
STP-BHM:20240102:1900,STP-BHM,2024-01-02,2024-01-02 19:00:00,2024-01-02 20:20:00,2024-01-02 20:20:00,0 days 00:00:00,On Time,
MAN-LIV:20240102:1915,MAN-LIV,2024-01-02,2024-01-02 19:15:00,2024-01-02 19:45:00,2024-01-02 19:45:00,0 days 00:00:00,On Time,
KGX-YRK:20240102:1930,KGX-YRK,2024-01-02,2024-01-02 19:30:00,2024-01-02 21:20:00,2024-01-02 21:20:00,0 days 00:00:00,On Time,
LIV-MAN:20240102:1945,LIV-MAN,2024-01-02,2024-01-02 19:45:00,2024-01-02 20:15:00,2024-01-02 20:15:00,0 days 00:00:00,On Time,
LIV-MAN:20240102:2000,LIV-MAN,2024-01-02,2024-01-02 20:00:00,2024-01-02 20:30:00,2024-01-02 20:30:00,0 days 00:00:00,On Time,
MAN-LIV:20240102:2015,MAN-LIV,2024-01-02,2024-01-02 20:15:00,2024-01-02 20:45:00,2024-01-02 20:45:00,0 days 00:00:00,On Time,
